Business File Number,License Type,Entity Name,Trade Name,Current License Status,Expiration Date,Facility Street Number,Facility Pre-Direction,Facility Street Name,Facility Street Type,Facility Unit Number,Facility City,Facility Zip Code,Year,Street_Address,Lat,Lng
2013-BFN-1069798,Retail Marijuana Store,"ARES STRATEGIES, INC",TERRAPIN CARE STATION,License Issued - Active,5/22/2020 0:00,1,,BROADWAY,,A-150,DENVER,80203.0,2013,1  BROADWAY ,39.7169422,-104.9880121
2013-BFN-1069518,Retail Marijuana Store,"MEDICINAL WELLNESS CENTER, LLC",OASIS CANNABIS SUPERSTORE,License Issued - Active,2/26/2020 0:00,6359,E,EVANS,AVE,,DENVER,80222.0,2013,6359 E EVANS AVE,39.6787491,-104.914581
2015-BFN-0000507,Retail Marijuana Store,"GREEN AROUND YOU, LLC","GOLDEN MEDS, INC.",License Issued - Active,6/22/2020 0:00,970,S,ONEIDA,ST,15,DENVER,80224.0,2015,970 S ONEIDA ST,39.6987959,-104.9072211
2013-BFN-1069782,Retail Marijuana Store,DELTA-9 DELIGHTS LLC,REEFER MADNESS,License Issued - Active,6/2/2020 0:00,4401,E,46TH,AVE,B,DENVER,80216.0,2013,4401 E 46TH AVE,39.7811727,-104.9362388
2014-BFN-1074182,Retail Marijuana Store,"SERENITY MOON WELLNESS CENTER, LLC",FROSTED LEAF,License Issued - Active,9/10/2020 0:00,6302,E,COLFAX,AVE,,DENVER,80220.0,2014,6302 E COLFAX AVE,39.739761,-104.91484
2013-BFN-1070236,Retail Marijuana Store,"COLORADO FARMS, INC",LIGHTSHADE LABS,License Issued - Active,2/26/2020 0:00,11975,E,40TH,AVE,,DENVER,80239.0,2013,11975 E 40TH AVE,39.7732103,-104.8490475
2016-BFN-0004024,Retail Marijuana Store,"LEVELS IV, INC",LEVELS IV INC,License Issued - Active,11/25/2020 0:00,5201,W,48TH,AVE,,DENVER,80212.0,2016,5201 W 48TH AVE,39.7840363,-105.0535725
2015-BFN-0007821,Retail Marijuana Store,"ROYAL ASSET MANAGEMENT, LLC",DIEGO PELLICER,License Issued - Active,11/7/2020 0:00,2949,W,ALAMEDA,AVE,,DENVER,80219.0,2015,2949 W ALAMEDA AVE,39.7114875,-105.024465
2014-BFN-0004053,Retail Marijuana Store,"CANNABIS FOR HEALTH, LLC",PIG N' WHISTLE,License Issued - Active,6/9/2020 0:00,4801,W,COLFAX,AVE,,DENVER,80204.0,2014,4801 W COLFAX AVE,39.7406446,-105.0489606
2013-BFN-1069587,Retail Marijuana Store,"THE GIVING TREE OF DENVER, LLC",,License Issued - Active,3/6/2020 0:00,2707,W,38TH,AVE,,DENVER,80211.0,2013,2707 W 38TH AVE,39.7694562,-105.0208127
2016-BFN-0004033,Retail Marijuana Store,HOBBY FARMS LLC,A CUT ABOVE,License Issued - Active,7/6/2020 0:00,1911,S,BROADWAY,,,DENVER,80210.0,2016,1911 S BROADWAY ,39.6818667,-104.9881042
2014-BFN-0002267,Retail Marijuana Store,SISSCO LLC,TRENCHTOWN,License Issued - Active,1/23/2020 0:00,734,N,SHERIDAN,BLVD,,DENVER,80214.0,2014,734 N SHERIDAN BLVD,39.7281375,-105.0531315
2015-BFN-0001350,Retail Marijuana Store,PG RETAIL I LLC,MILE HIGH GREEN CROSS,License Issued - Active,7/2/2020 0:00,852,N,BROADWAY,,,DENVER,80203.0,2015,852 N BROADWAY ,39.7300849,-104.9870776
2013-BFN-1069019,Retail Marijuana Store,"MILE HIGH THERAPEUTIC NETWORK, LLC",ALTITUDE WEST,License Issued - Active,1/2/2020 0:00,1568,S,FEDERAL,BLVD,,DENVER,80219.0,2013,1568 S FEDERAL BLVD,39.688358,-105.0246258
2013-BFN-1069359,Retail Marijuana Store,"BUD BUM, LLC",BUD BUM,License Issued - Active,2/18/2020 0:00,1325,S,INCA,ST,A,DENVER,80223.0,2013,1325 S INCA ST,39.6925979,-104.998358
2013-BFN-1069527,Retail Marijuana Store,"LIGHTSHADE LABS, LLC",LIGHTSHADE,License Issued - Active,2/7/2020 0:00,330,S,DAYTON,ST,,DENVER,80247.0,2013,330 S DAYTON ST,39.7083543,-104.8749473
2013-BFN-1069382,Retail Marijuana Store,"WDG, INC.",BEMINDFUL,License Issued - Active,2/13/2020 0:00,5926,E,COLFAX,AVE,,DENVER,80220.0,2013,5926 E COLFAX AVE,39.7399561,-104.9187636
2013-BFN-1068991,Retail Marijuana Store,"NUTRITIONAL ELEMENTS, LLC",THE HEALTH CENTER,License Issued - Active,4/9/2020 0:00,2777,S,COLORADO,BLVD,,DENVER,80222.0,2013,2777 S COLORADO BLVD,39.6658647,-104.94103
2014-BFN-0004815,Retail Marijuana Store,"3B-38, LLC",BUDDY BOY,License Issued - Active,6/15/2020 0:00,4012,W,38TH,AVE,,DENVER,80212.0,2014,4012 W 38TH AVE,39.7692773,-105.0396581
2014-BFN-0003949,Retail Marijuana Store,"RJJ SHERIDAN, LLC",NATIVE ROOTS LITTLETON,License Issued - Active,1/21/2020 0:00,7870,W,QUINCY,AVE,,DENVER,80123.0,2014,7870 W QUINCY AVE,39.6382756,-105.084793
2013-BFN-1068898,Retail Marijuana Store,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,,License Issued - Active,1/9/2020 0:00,1301,N,MARION,ST,,DENVER,80218.0,2013,1301 N MARION ST,39.73699120000001,-104.971996
2013-BFN-1069076,Retail Marijuana Store,"DGS, INC.",THE KIND ROOM,License Issued - Active,1/22/2020 0:00,1881,S,BROADWAY,,,DENVER,80210.0,2013,1881 S BROADWAY ,39.6824828,-104.9877393
2013-BFN-1069262,Retail Marijuana Store,"MILE HIGH MEDICAL CANNABIS, LLC",LIT,License Issued - Active,1/16/2020 0:00,2001,S,BROADWAY,,,DENVER,80210.0,2013,2001 S BROADWAY ,39.6800524,-104.987785
2013-BFN-1068965,Retail Marijuana Store,SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,License Issued - Active,1/7/2020 0:00,330,E,COLFAX,AVE,,DENVER,80203.0,2013,330 E COLFAX AVE,39.7398235,-104.982628
2013-BFN-1069366,Retail Marijuana Store,HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,License Issued - Active,1/6/2020 0:00,1178,S,KALAMATH,ST,,DENVER,80223.0,2013,1178 S KALAMATH ST,39.6952492,-104.999996
2016-BFN-0007402,Retail Marijuana Store,"YUMA WAY, LLC",1136 YUMA,License Issued - Active,11/6/2019 0:00,1136,N,YUMA,CT,,DENVER,80204.0,2016,1136 N YUMA CT,39.7343123,-105.0143072
2013-BFN-1069025,Retail Marijuana Store,"CANNABIS KING, LLC",GREEN DRAGON COLORADO,License Issued - Active,6/24/2020 0:00,930,W,BYERS,PL,,DENVER,80223.0,2013,930 W BYERS PL,39.7117465,-104.9982915
2013-BFN-1070317,Retail Marijuana Store,RIVERROCK LLC,RIVERROCK,License Issued - Active,3/6/2020 0:00,4935,N,YORK,ST,,DENVER,80216.0,2013,4935 N YORK ST,39.7855193,-104.9597114
2014-BFN-1070940,Retail Marijuana Store,"SERENITY MOON WELLNESS CENTER, LLC",FROSTED LEAF,License Issued - Active,4/29/2020 0:00,399,S,HARRISON,ST,,DENVER,80209.0,2014,399 S HARRISON ST,39.7094332,-104.9416916
2014-BFN-0005236,Retail Marijuana Store,COLORADO CANNABIS COMPANY LLC,PURE MEDICAL DISPENSARY,License Issued - Active,3/31/2020 0:00,1133,,BANNOCK,ST,,DENVER,80204.0,2014,1133  BANNOCK ST,39.734432,-104.9904083
2016-BFN-0004809,Retail Marijuana Store,"SMOKED COLORADO, INC.",MIGHTY TREE,License Issued - Active,11/23/2019 0:00,2268,S,DELAWARE,ST,,DENVER,80223.0,2016,2268 S DELAWARE ST,39.6754764,-104.9920421
2016-BFN-0004876,Retail Marijuana Store,"TWO G-FEDERAL, LLC",BUDDY BOY,License Issued - Active,8/16/2020 0:00,2426,S,FEDERAL,BLVD,,DENVER,80219.0,2016,2426 S FEDERAL BLVD,39.6725537,-105.0246248
2015-BFN-0000352,Retail Marijuana Store,"MILE HIGH DISPENSARY, LLC",MILE HIGH DISPENSARY,License Issued - Active,2/26/2020 0:00,1350,S,SHERIDAN,BLVD,1 & 2,DENVER,80232.0,2015,1350 S SHERIDAN BLVD,39.6919117,-105.0527734
2013-BFN-1070430,Retail Marijuana Store,HIGH STREET GROWERS LLC,,License Issued - Active,4/29/2020 0:00,330,N,FEDERAL,BLVD,,DENVER,80219.0,2013,330 N FEDERAL BLVD,39.721782,-105.0248074
2013-BFN-1070421,Retail Marijuana Store,"THE HERBAL CURE, LLC",,License Issued - Active,5/15/2020 0:00,985,S,LOGAN,ST,,DENVER,80209.0,2013,985 S LOGAN ST,39.6989641,-104.9837462
2013-BFN-1069055,Retail Marijuana Store,"ALTERNATIVE MEDICINE ON THE MALL, LLC",NATIVE ROOTS SPEER,License Issued - Active,2/18/2020 0:00,910,,16TH,ST,805,DENVER,80202.0,2013,910  16TH ST,39.7466361,-104.9943582
2014-BFN-0003250,Retail Marijuana Store,"DENCO, LLC",,License Issued - Active,9/3/2020 0:00,5155,E,46TH,AVE,,DENVER,80216.0,2014,5155 E 46TH AVE,39.7807849,-104.9283907
2014-BFN-0004811,Retail Marijuana Store,"TWOG-YORK, LLC",BUDDY BOY,License Issued - Active,5/15/2020 0:00,5050,N,YORK,ST,,DENVER,80216.0,2014,5050 N YORK ST,39.7883816,-104.9583707
2013-BFN-1069108,Retail Marijuana Store,"DOCTOR'S ORDERS, LLC",DOCTOR'S ORDERS,License Issued - Active,9/10/2020 0:00,1406,W,38TH,AVE,,DENVER,80211.0,2013,1406 W 38TH AVE,39.769126,-105.003259
2013-BFN-1070062,Retail Marijuana Store,WANNA LLC,NORTHERN LIGHTS CANNABIS CO,License Issued - Active,3/13/2020 0:00,183,W,ALAMEDA,AVE,,DENVER,80223.0,2013,183 W ALAMEDA AVE,39.7114526,-104.9919286
2013-BFN-1068928,Retail Marijuana Store,"THE GREEN SOLUTION, LLC",,License Issued - Active,1/1/2020 0:00,2601,W,ALAMEDA,AVE,,DENVER,80219.0,2013,2601 W ALAMEDA AVE,39.7113836,-105.0182333
2013-BFN-1069615,Retail Marijuana Store,E2T2 LLC,DIEGO PELLICER,License Issued - Active,5/19/2020 0:00,2057,S,BROADWAY,,,DENVER,80210.0,2013,2057 S BROADWAY ,39.6793371,-104.9878913
2013-BFN-1070422,Retail Marijuana Store,"DENVER DISPENSARY, LLC","DENVER DISPENSARY, LLC",License Issued - Active,6/25/2020 0:00,4975,N,VASQUEZ,BLVD,,DENVER,80216.0,2013,4975 N VASQUEZ BLVD,39.786831,-104.946158
2013-BFN-1069592,Retail Marijuana Store,"GOLDEN MEDS, INC","GM ENTERPRISE, INC.",License Issued - Active,2/26/2020 0:00,4620,N,PEORIA,ST,,DENVER,80239.0,2013,4620 N PEORIA ST,39.7802847,-104.8459408
2013-BFN-1069092,Retail Marijuana Store,"MILE HIGH MEDICAL CANNABIS, LLC",LIT,License Issued - Active,1/1/2020 0:00,1630,N,FEDERAL,BLVD,,DENVER,80204.0,2013,1630 N FEDERAL BLVD,39.7429209,-105.0249842
2015-BFN-0003926,Retail Marijuana Store,"GREENFIELDS, LLC",GREENFIELDS,License Issued - Active,11/9/2019 0:00,1798,W,MISSISSIPPI,AVE,,DENVER,80223.0,2015,1798 W MISSISSIPPI AVE,39.6964176,-105.0083269
2013-BFN-1069103,Retail Marijuana Store,BOTANICO INC,,License Issued - Active,2/27/2020 0:00,3054,,LARIMER,ST,,DENVER,80205.0,2013,3054  LARIMER ST,39.7629004,-104.979376
2015-BFN-0000173,Retail Marijuana Store,THE OUNCE DEPOT LLC,THE FARMERS MARKET,License Issued - Active,5/5/2020 0:00,2070,S,HURON,ST,,DENVER,80223.0,2015,2070 S HURON ST,39.6789931,-104.9970328
2013-BFN-1070229,Retail Marijuana Store,"BEYOND BROADWAY, LLC",LIVWELL,License Issued - Active,3/10/2020 0:00,432,S,BROADWAY,,,DENVER,80209.0,2013,432 S BROADWAY ,39.7087176,-104.9873293
2015-BFN-0000208,Retail Marijuana Store,"PIONEER INTERESTS COLFAX, LLC",,License Issued - Active,4/22/2020 0:00,3121,E,COLFAX,AVE,,DENVER,80206.0,2015,3121 E COLFAX AVE,39.74034870000001,-104.9506128
2014-BFN-0004813,Retail Marijuana Store,"TWOG-WALNUT, LLC",BUDDY BOY,License Issued - Active,3/26/2020 0:00,3814,,WALNUT,ST,,DENVER,80205.0,2014,3814  WALNUT ST,39.7703141,-104.9712528
2013-BFN-1070316,Retail Marijuana Store,CURE MEDICAL PHARM INC.,RIVERROCK,License Issued - Active,3/17/2020 0:00,990,W,6TH,AVE,5,DENVER,80204.0,2013,990 W 6TH AVE,39.7254991,-104.9994482
2013-BFN-1070104,Retail Marijuana Store,"HERBAL ALTERNATIVES, LLC",NEW BROADSTERDAM,License Issued - Active,2/24/2020 0:00,2568,S,BROADWAY,,,DENVER,80210.0,2013,2568 S BROADWAY ,39.6700384,-104.9873064
2014-BFN-0003085,Retail Marijuana Store,"PEAK HOLDINGS GROUP, LLC",PEAK DISPENSARY,License Issued - Active,10/16/2020 0:00,260,N,BROADWAY,,,DENVER,80203.0,2014,260 N BROADWAY ,39.720519,-104.987294
2016-BFN-0007492,Retail Marijuana Store,KTA LLC,THE LODGE,License Issued - Active,6/2/2020 0:00,3944,N,HIGH,ST,,DENVER,80205.0,2016,3944 N HIGH ST,39.77201549999999,-104.9644632
2013-BFN-1069134,Retail Marijuana Store,"4625 EAST COLFAX, LLC",THE CLINIC ON COLFAX,License Issued - Active,3/6/2020 0:00,4625,E,COLFAX,AVE,,DENVER,80220.0,2013,4625 E COLFAX AVE,39.7403739,-104.9331588
2013-BFN-1069003,Retail Marijuana Store,"MILE HIGH MEDICAL, LLC",MMJ AMERICA UPTOWN,License Issued - Active,1/21/2020 0:00,2042,,ARAPAHOE,ST,,DENVER,80205.0,2013,2042  ARAPAHOE ST,39.752125,-104.989891
2015-BFN-0000860,Retail Marijuana Store,"505 CENTER, LLC",PURE MEDICAL DISPENSARY,License Issued - Active,5/18/2020 0:00,505,W,40TH,AVE,,DENVER,80216.0,2015,505 W 40TH AVE,39.7720552,-104.9939362
2013-BFN-1069099,Retail Marijuana Store,"DRAGON PARTNERS, LLC",GREEN DRAGON COLORADO,License Issued - Active,1/24/2020 0:00,5130,E,COLFAX,AVE,,DENVER,80220.0,2013,5130 E COLFAX AVE,39.739954,-104.927144
2013-BFN-1069365,Retail Marijuana Store,"HIGH COUNTRY SUPPLY, LLC.",COLORADO HARVEST COMPANY,License Issued - Active,1/1/2020 0:00,1568,S,BROADWAY,,,DENVER,80210.0,2013,1568 S BROADWAY ,39.68819329999999,-104.9872836
2014-BFN-1070935,Retail Marijuana Store,"JVJC HOLDINGS III, LLC",,License Issued - Active,4/18/2020 0:00,5194,N,WASHINGTON,ST,,DENVER,80216.0,2014,5194 N WASHINGTON ST,39.79094389999999,-104.9780264
2014-BFN-1070936,Retail Marijuana Store,FOX STREET WELLNESS LLC,FOX CANNABIS,License Issued - Active,4/18/2020 0:00,4773,N,FOX,ST,,DENVER,80216.0,2014,4773 N FOX ST,39.78323950000001,-104.9950661
2013-BFN-1069062,Retail Marijuana Store,"FUTUREVISION, LTD",MEDICINE MAN,License Issued - Active,1/1/2020 0:00,4750,N,NOME,ST,,DENVER,80239.0,2013,4750 N NOME ST,39.7835382,-104.8519377
2015-BFN-0008069,Retail Marijuana Store,KTA LLC,THE LODGE,License Issued - Active,10/6/2020 0:00,82,S,FEDERAL,BLVD,,DENVER,80219.0,2015,82 S FEDERAL BLVD,39.7149739,-105.0247618
2013-BFN-1069131,Retail Marijuana Store,"ASCEND II, LLC",ASCEND II,License Issued - Active,7/3/2020 0:00,3555,S,YOSEMITE,ST,,DENVER,80237.0,2013,3555 S YOSEMITE ST,39.6518281,-104.8853928
